,prediction,actual
0,1143983.0514591332,1070000
1,399025.5434738896,402400
2,317597.5656518869,330000
3,354530.35529481777,345990
4,349601.24725033133,342990
5,250566.80869065152,229900
6,235733.99430829202,130000
7,348516.18131525733,299999
8,286418.456854887,299000
9,283548.40807322593,269900
10,357359.1350070239,304900
11,255937.4718168846,239900
12,133961.43317292977,165000
13,391412.5317198307,340000
14,553279.1107531178,472990
15,200763.30334020543,210000
16,303419.53218835173,300000
17,461079.0420016553,435030
18,418062.82183298154,422210
19,381105.3416581243,384290
20,315995.89206021524,162000
21,588040.024888819,500000
22,333271.88613450044,250000
23,189169.21025014596,375000
24,257491.008706617,235000
25,447663.3284834786,414900
26,272918.14589512825,290900
27,378835.9558757205,395660
28,439923.8508661784,433400
29,324557.9837490137,300000
30,251904.1505856216,255000
31,356027.2531334266,435000
32,356791.0938425105,334900
33,394080.4670691491,392400
34,365490.59331390914,309900
35,739322.3957291751,1795000
36,414512.18991374865,365000
37,740321.7264947351,750000
38,217965.43959994588,200000
39,307690.5163772878,277990
40,273978.3344812961,280000
41,336683.3174033569,352900
42,316558.4831086472,260000
43,256833.19208753476,249995
44,355081.04291204247,290990
45,375657.83192424726,355900
46,194634.6145530008,250000
47,539581.1638683612,572155
48,277820.8892267522,269000
49,533868.6643209818,329900
50,279610.28875409527,264900
51,329449.0373147351,500000
52,440750.46868218866,435301
53,402193.47205016686,388335
54,358198.1309634236,353900
55,383708.5349761792,386290
56,499891.9622397998,517000
57,366311.2139452932,317900
58,387831.8953559893,367900
59,377944.70268285077,383840
60,323115.2869851639,319900
61,281904.1833407042,229000
62,282695.3968313249,269900
63,295257.26731629646,314900
64,429929.45896624913,424999
65,352988.158277058,350990
66,445458.39027689246,455000
67,207553.15472625458,199900
68,426489.71025746857,474900
69,720923.4836543844,406900
70,231775.21536728682,200000
71,260721.2814188687,289500
72,401273.30540379084,433900
73,335847.04669513734,339000
74,387110.99589094747,362205
75,666377.6796643476,496000
76,388800.1875702055,400000
77,385446.72177458735,381540
78,457097.09359470574,300000
79,433769.56219389266,417175
80,257743.46381240973,272900
81,230777.78241364862,195000
82,241696.3379119219,254990
83,305257.9717787773,229900
84,334899.3123328279,295900
85,359315.0142857007,350000
86,380116.7421696683,327750
87,205743.83667202183,125000
88,321474.2849883838,332900
89,464439.5397508194,469180
90,304058.5973437126,325000
91,347933.9019184147,223000
92,189585.8254932708,200000
93,440404.62362384447,424990
94,278641.7151708604,235000
95,231214.11258831422,189000
96,256833.19208753476,249995
97,356722.9983889798,350990
98,126742.80557960834,150000
99,741946.5196192996,675000
100,360828.16831407,305900
101,309262.875352582,377900
102,375698.7723035694,345000
103,342544.181332539,344990
104,248149.01927053495,274000
105,438929.86724598415,400000
106,303375.03098824323,249900
107,322761.1325080231,275000
108,440153.32866652537,463400
109,263700.42694475694,245000
110,258926.1360933975,179900
111,123263.09347790777,340000
112,730663.3881040975,624800
113,688815.9265229595,750000
114,322001.369199374,299900
115,234255.4174955495,235000
